0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"127.1311087,37.4332284","126.8685706,37.4995796","126.7335196,37.4360771","126.7335196,37.4360771","127.0871242,37.5032993","127.3688202,36.3225383","126.736789,37.4360424","126.7284491,37.5432747","126.7335196,37.4360771","126.9233927,37.3616184","127.0972761,37.5062664","126.8685706,37.4995796","127.1311087,37.4332284","126.8685706,37.4995796","127.1311087,37.4332284","126.7335196,37.4360771","127.0972761,37.5062664","126.7335196,37.4360771","126.7335196,37.4360771","127.2048211,37.3001397"
"127.1310522,37.4332192","126.8686941,37.499555","126.7327295,37.4360774","126.7327295,37.4360774","127.0877704,37.5040902","127.369668,36.3225221","126.7370309,37.4360386","126.7285929,37.5432693","126.7327295,37.4360774","126.9234775,37.3617495","127.097279,37.5063566","126.8686941,37.499555","127.1310522,37.4332192","126.8686941,37.499555","127.1310522,37.4332192","126.7327295,37.4360774","127.097279,37.5063566","126.7327295,37.4360774","126.7327295,37.4360774","127.2048116,37.3002496"
"127.1309845,37.4332072","126.8689277,37.4994967","126.7324209,37.4360772","126.7324209,37.4360772","127.0877985,37.5041255","127.3700312,36.3225198","126.7397757,37.4360157","126.729312,37.5432415","126.7324209,37.4360772","126.9234864,37.3617649","127.0972813,37.506554","126.8689277,37.4994967","127.1309845,37.4332072","126.8689277,37.4994967","127.1309845,37.4332072","126.7324209,37.4360772","127.0972813,37.506554","126.7324209,37.4360772","126.7324209,37.4360772","127.2048001,37.3003019"
"127.130849,37.4331816","126.8690614,37.4994659","126.7323339,37.4360766","126.7323339,37.4360766","127.0878558,37.504196","127.3701047,36.3225199","126.7400628,37.4360157","126.7296122,37.5432246","126.7323339,37.4360766","126.9234953,37.3617784","127.0972915,37.5067541","126.8690614,37.4994659","127.130849,37.4331816","126.8690614,37.4994659","127.130849,37.4331816","126.7323339,37.4360766","127.0972915,37.5067541","126.7323339,37.4360766","126.7323339,37.4360766","127.204724,37.3004261"
"127.1306322,37.433134","126.8712239,37.4990024","126.73217,37.4360729","126.73217,37.4360729","127.087994,37.5043749","127.3701081,36.3225199","126.7414973,37.4360042","126.7306621,37.5431692","126.73217,37.4360729","126.9236366,37.3619107","127.0973939,37.5085617","126.8712239,37.4990024","127.1306322,37.433134","126.8712239,37.4990024","127.1306322,37.433134","126.73217,37.4360729","127.0973939,37.5085617","126.73217,37.4360729","126.73217,37.4360729","127.2046346,37.3005124"
"127.1304109,37.4330829","126.8712567,37.4989945","126.732172,37.4359909","126.732172,37.4359909","127.0882201,37.5046056","127.3701671,36.32252","126.7430088,37.4359823","126.7306768,37.5431693","126.732172,37.4359909","126.9238239,37.3620748","127.0973938,37.5085653","126.8712567,37.4989945","127.1304109,37.4330829","126.8712567,37.4989945","127.1304109,37.4330829","126.732172,37.4359909","127.0973938,37.5085653","126.732172,37.4359909","126.732172,37.4359909","127.2044118,37.3006245"
"127.1294307,37.4328914","126.8712896,37.4989875","126.732174,37.4357917","126.732174,37.4357917","127.0883966,37.5048099","127.3702295,36.3225192","126.7435043,37.4359441","126.7308671,37.5431588","126.732174,37.4357917","126.9240214,37.3622398","127.0973977,37.5086843","126.8712896,37.4989875","127.1294307,37.4328914","126.8712896,37.4989875","127.1294307,37.4328914","126.732174,37.4357917","127.0973977,37.5086843","126.732174,37.4357917","126.732174,37.4357917","127.2041623,37.3006662"
"127.1293697,37.4328786","126.8715343,37.4989482","126.7321795,37.4357016","126.7321795,37.4357016","127.0886497,37.5050857","127.370222,36.3223695","126.7440331,37.4358528","126.7320118,37.5431248","126.7321795,37.4357016","126.9243446,37.3625118","127.0974079,37.5088998","126.8715343,37.4989482","127.1293697,37.4328786","126.8715343,37.4989482","127.1293697,37.4328786","126.7321795,37.4357016","127.0974079,37.5088998","126.7321795,37.4357016","126.7321795,37.4357016","127.2039615,37.3006666"
"127.1293629,37.4328768","126.8716261,37.4989334","126.7321872,37.4348327","126.7321872,37.4348327","127.0889274,37.5053985","127.3702122,36.3221829","126.7443344,37.4357871","126.7322157,37.5431126","126.7321872,37.4348327","126.9256912,37.3636252","127.0974923,37.5098311","126.8716261,37.4989334","127.1293629,37.4328768","126.8716261,37.4989334","127.1293629,37.4328768","126.7321872,37.4348327","127.0974923,37.5098311","126.7321872,37.4348327","126.7321872,37.4348327","127.2038656,37.3006421"
"127.1290581,37.4328109","126.8716612,37.498929","126.7321914,37.4335384","126.7321914,37.4335384","127.0889499,37.5054247","127.3702036,36.3220206","126.7444092,37.4357714","126.7322384,37.543111","126.7321914,37.4335384","126.9259076,37.3638309","127.097513,37.5099655","126.8716612,37.498929","127.1290581,37.4328109","126.8716612,37.498929","127.1290581,37.4328109","126.7321914,37.4335384","127.097513,37.5099655","126.7321914,37.4335384","126.7321914,37.4335384","127.2037642,37.3006057"
"127.1290129,37.4328009","126.8719296,37.4988953","126.7321922,37.4333482","126.7321922,37.4333482","127.0894828,37.5060512","127.3701993,36.3219493","126.7444858,37.4359152","126.7323358,37.5431062","126.7321922,37.4333482","126.926031,37.3639397","127.0970693,37.5099992","126.8719296,37.4988953","127.1290129,37.4328009","126.8719296,37.4988953","127.1290129,37.4328009","126.7321922,37.4333482","127.0970693,37.5099992","126.7321922,37.4333482","126.7321922,37.4333482","127.2035742,37.3004493"
"127.1290375,37.4326351","126.8719749,37.4988911","126.7321958,37.4332175","126.7321958,37.4332175","127.0895604,37.5061362","127.370212,36.3216744","126.7446687,37.436267","126.7327763,37.5430829","126.7321958,37.4332175","126.9261073,37.364004","127.0966222,37.5100274","126.8719749,37.4988911","127.1289872,37.4329828","126.8719749,37.4988911","127.1290375,37.4326351","126.7321958,37.4332175","127.0966222,37.5100274","126.7321958,37.4332175","126.7321958,37.4332175","127.2030744,37.2995575"
"127.129041,37.4326117","126.8722429,37.4989069","126.7322039,37.4329787","126.7322039,37.4329787","127.0899874,37.5066749","127.3702222,36.3215698","126.7447429,37.4364198","126.7336654,37.5430364","126.7322039,37.4329787","126.9263519,37.3642089","127.096303,37.5100497","126.8719858,37.4989371","127.1289663,37.43309","126.8722429,37.4989069","127.129041,37.4326117","126.7322039,37.4329787","127.096303,37.5100497","126.7322039,37.4329787","126.7322039,37.4329787","127.2029491,37.2992913"
"127.1290527,37.4325297","126.8723582,37.4989156","126.7322061,37.4328778","126.7322061,37.4328778","127.0903493,37.5071079","127.370267,36.3214004","126.7447541,37.436437","126.7337141,37.543034","126.7322061,37.4328778","126.9270847,37.3648137","127.0961955,37.5100557","126.8720716,37.4992233","127.1289382,37.4332901","126.8723582,37.4989156","127.1290527,37.4325297","126.7322061,37.4328778","127.0961955,37.5100557","126.7322061,37.4328778","126.7322061,37.4328778","127.202775,37.2990916"
"127.1290866,37.432308","126.8724599,37.4989261","126.7322064,37.4328409","126.7322064,37.4328409","127.0903775,37.5071378","127.3703567,36.3210408","126.7448064,37.4365157","126.7337266,37.5430332","126.7322064,37.4328409","126.9272789,37.3649742","127.0961676,37.5101953","126.8720937,37.4992937","127.1289254,37.4333612","126.8724599,37.4989261","127.1290866,37.432308","126.7322064,37.4328409","127.0961676,37.5101953","126.7322064,37.4328409","126.7322064,37.4328409","127.2025747,37.2989496"
"127.1291866,37.4315079","126.8725504,37.4989329","126.7322147,37.4326976","126.7322147,37.4326976","127.0906102,37.5074108","127.3703993,36.320892","126.7448636,37.4365648","126.7338013,37.543031","126.7322147,37.4326976","126.9275145,37.3651763","127.0960846,37.5104852","126.8721058,37.4993316","127.1289172,37.4334135","126.8725504,37.4989329","127.1291866,37.4315079","126.7322147,37.4326976","127.0960846,37.5104852","126.7322147,37.4326976","126.7322147,37.4326976","127.2023989,37.2988825"
"127.1292242,37.4312079","126.872565,37.4989347","126.7322184,37.4325579","126.7322184,37.4325579","127.0906855,37.5075057","127.3704218,36.320801","126.7449389,37.4365995","126.7340323,37.5430244","126.7322184,37.4325579","126.9276065,37.3652552","127.096065,37.5105519","126.8722247,37.4997243","127.1288834,37.433627","126.872565,37.4989347","127.1292242,37.4312079","126.7322184,37.4325579","127.096065,37.5105519","126.7322184,37.4325579","126.7322184,37.4325579","127.2021114,37.2988331"
"127.1292871,37.4306078","126.8726046,37.4989404","126.7322358,37.4322885","126.7322358,37.4322885","127.0907203,37.50755","127.3705271,36.3204126","126.745089,37.436632","126.7362271,37.5429205","126.7322358,37.4322885","126.9277546,37.3653821","127.095823,37.5111568","126.8723118,37.4999997","127.1288799,37.4336459","126.8726046,37.4989404","127.1292871,37.4306078","126.7322358,37.4322885","127.095823,37.5111568","126.7322358,37.4322885","126.7322358,37.4322885","127.2017749,37.2988998"
