0
"128.0461992,36.1425766"
"128.0477993,36.1421826"
"128.0484873,36.1420243"
"128.0526368,36.1410992"
"128.0556741,36.1404"
"128.0591552,36.1396021"
"128.0595047,36.1395247"
"128.0629047,36.1387425"
"128.0641919,36.1384461"
"128.0650551,36.138241"
"128.0654058,36.13816"
"128.0656765,36.1380974"
"128.0671124,36.1377661"
"128.0704245,36.1369912"
"128.0729,36.136425"
"128.0751368,36.1358995"
"128.0782447,36.1351867"
"128.0787596,36.1350733"
"128.0798483,36.1348634"
"128.0808308,36.1347027"
"128.0825179,36.1345538"
"128.0828678,36.1345287"
"128.0871956,36.1342308"
"128.0897072,36.1340552"
"128.0902649,36.1340182"
"128.0905214,36.1339971"
"128.0920841,36.1338578"
"128.0939114,36.1337324"
"128.0954365,36.1336158"
"128.0966308,36.1335503"
"128.0973584,36.1335079"
"128.0989403,36.1334063"
"128.0991425,36.1333963"
"128.0999935,36.1333559"
"128.1001201,36.133349"
"128.1003557,36.1333415"
"128.1024123,36.1332708"
"128.1025246,36.1332666"
"128.104449,36.1332082"
"128.1075248,36.1331413"
"128.1088749,36.1331083"
"128.1100146,36.133033"
"128.1109708,36.1329416"
"128.111948,36.1328302"
"128.1123021,36.1327725"
"128.1137112,36.1324768"
"128.1142136,36.1323426"
"128.1152538,36.1320425"
"128.1164273,36.1316064"
"128.1170643,36.131348"
"128.1178949,36.1309741"
"128.1183943,36.1307416"
"128.1197249,36.1300766"
"128.1211507,36.1293633"
"128.1221802,36.1288494"
"128.1242624,36.1278081"
"128.1248459,36.1275346"
"128.1249621,36.1274799"
"128.1249998,36.1274662"
"128.126139,36.1269256"
"128.1262974,36.1268599"
"128.1270232,36.1265982"
"128.127973,36.1262732"
"128.1290165,36.1259864"
"128.1296042,36.1258247"
"128.1298403,36.1257594"
"128.1304145,36.1255779"
"128.1332816,36.1247469"
"128.1334557,36.1246964"
"128.1339325,36.1245703"
"128.1349819,36.1243403"
"128.1354736,36.1242674"
"128.1354859,36.1242664"
"128.1360921,36.1242082"
"128.1367731,36.1241811"
"128.1375178,36.1242015"
"128.1386056,36.1243183"
"128.139663,36.1245245"
"128.1403704,36.1247434"
"128.1405354,36.1248084"
"128.1408867,36.1249598"
"128.1445498,36.1267748"
"128.145208,36.1270868"
"128.1498726,36.1292983"
"128.1504137,36.129555"
"128.1511591,36.129917"
"128.1523385,36.1303578"
"128.1528922,36.1305161"
"128.15292,36.1305241"
"128.1532151,36.130591"
"128.1537162,36.1307055"
"128.1546064,36.1308431"
"128.1558749,36.1308983"
"128.1572324,36.1308233"
"128.1581813,36.1306747"
"128.1596305,36.1304026"
"128.1599212,36.1303514"
"128.1600355,36.1303318"
"128.1616347,36.1300607"
"128.162262,36.129986"
"128.1633561,36.1299204"
"128.1640783,36.129902"
"128.1648798,36.1299291"
"128.1652802,36.1299647"
"128.1658174,36.1300122"
"128.1668403,36.1302031"
"128.1676624,36.1304284"
"128.1680133,36.1305247"
"128.1687354,36.1307587"
"128.1692183,36.130958"
"128.1697347,36.1311723"
"128.1699289,36.1312668"
"128.1703865,36.1315005"
"128.1712389,36.1320186"
"128.1720625,36.1325513"
"128.173764,36.1338454"
"128.176336,36.1358143"
"128.1766683,36.1360721"
"128.1782874,36.1373287"
"128.1784686,36.1374674"
"128.1785089,36.1374988"
"128.1793122,36.1381154"
"128.1820816,36.1402616"
"128.1823234,36.1404576"
"128.1830591,36.1410836"
"128.1835042,36.1415291"
"128.1841166,36.1422893"
"128.1845421,36.1429098"
"128.185141,36.1437809"
"128.1865919,36.1459814"
"128.187504,36.1473231"
"128.1885569,36.1488821"
"128.189752,36.1506675"
"128.1901485,36.1512612"
"128.1908051,36.1522419"
"128.1909796,36.1524834"
"128.1914679,36.153154"
"128.1919278,36.1537446"
"128.1923666,36.1542127"
"128.1924552,36.1543068"
"128.1930571,36.1548641"
"128.193721,36.1553931"
"128.1944212,36.1558767"
"128.1949075,36.1561841"
"128.194941,36.1562019"
"128.1953744,36.1564338"
