smiles,use_AUTOCORR3D_071,use_AUTOCORR3D_072,use_AUTOCORR3D_073
CC(C)C(C)Nc1[n]c(NCC)[n]c([n]1)SC,0.384,0.538,0.647
[Na+].[O-]C(=O)C(F)(F)C(F)F,0.618,0.739,0.318
Cc1cc(ccc1SC)OP(=O)(NC(C)C)OCC,0.389,0.566,0.672
CC(C)CCO[N+]([O-])=O,0.536,0.511,0.505
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,0.473,0.711,0.788
CCOP(=O)(N=C1SCS1)OCC,0.535,0.708,0.963
CSC1=NN=C(C(=O)N1N)C(C)(C)C,0.559,0.783,0.822
CN1C(=O)N(OC1=O)c1cc(Cl)c(Cl)cc1,0.503,0.724,0.626
COCC(C)OCC(C)OCC(C)O,0.367,0.436,0.55
Clc1c2ccccc2c(Cl)c(Cl)c1Cl,0.692,1.176,1.205
CC(C)Oc1cc(c(Cl)cc1Cl)N1N=C(OC1=O)C(C)(C)C,0.365,0.501,0.635
CCCCCCCCCCCCCS,0.35,0.459,0.536
Clc1cc2Oc3cc(Cl)c(Cl)c(Cl)c3Oc2c(Cl)c1Cl,0.492,0.829,0.851
CCCCCCCCCCCCCCI,0.344,0.456,0.549
CC(C)(C)c1cc2cc3ccccc3cc2cc1,0.481,0.637,0.652
CNC(=O)N(C)c1[n]c2ccccc2[s]1,0.528,0.702,0.687
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,0.37,0.537,0.633
COP(=S)(Oc1cc(Cl)c(I)cc1Cl)OC,0.598,0.887,0.884
CCCC(C)=CC,0.717,0.83,0.621
CCC(CC#N)C#N,0.617,0.801,0.65
CCC(C)OC(=O)Cl,0.687,0.745,0.81
CCOP(=O)(Sc1ccccc1)Sc1ccccc1,0.47,0.583,0.713
CC(=NOC(=O)NC)SC,0.54,0.611,0.586
CC(C)(C(C)C)C(C)C,0.846,1.115,0.49
CC(C)(C)C(CC)CC,0.779,0.944,0.78
CC(CC)C(C)(C)CC,0.775,1.033,0.613
CCCC(C)(C)C(C)C,0.774,0.948,0.612
CCC(C)CC(C)(C)C,0.774,0.659,0.846
CCCC(C)C(C)(C)C,0.772,0.862,0.651
CN(C)O,1.077,0,0
Clc1ccc(Cl)cc1-c1ccc(Cl)cc1,0.576,0.774,0.762
C1C2CC=CCC21,0.97,0.703,0
CC(C)C=CC(C)C,0.715,0.623,0.674
CCCCCC(C)=C,0.631,0.602,0.585
Clc1cc(-c2ccccc2)c(Cl)cc1Cl,0.577,0.828,0.855
CC(Oc1cccc2ccccc21)C(=O)N(CC)CC,0.345,0.513,0.569
ClC(C(Cl)Cl)C(Cl)Cl,1.247,1.578,1.094
C=CCOC(=O)OCC=C,0.42,0.509,0.555
CCOP(=S)(O/N=C(\C#N)/c1ccccc1)OCC,0.363,0.507,0.61
Brc1c(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c(Br)c1Br,0.557,1.13,1.349
CCOP(=S)(Oc1c[n]c2ccccc2[n]1)OCC,0.399,0.551,0.635
CC(C)(C)C(C)(C)CCC,0.788,0.989,0.571
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,0.497,0.72,0.597
CCOP(=O)(SCCC)SCCC,0.633,0.804,0.965
ClC(Cl)(CCl)CCl,1.404,1.697,0.335
Clc1ccccc1-c1ccccc1Cl,0.586,0.82,0.843
